Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
ENVIRON	Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Male	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	All	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Male	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	All	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Male	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	All	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Male	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	All	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
ENVIRON	Not a Professor	Male	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	All	Male	All Questions	11	61	243	721	1979	2678	39	5682	4.448147375
IOE	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	11	8	38	102	251	309	2	708	4.306518017
IOE	All	Male	My interest in the subject has increased because of this course.	11	17	48	126	278	248	1	717	4.08773751
IOE	All	Male	Overall, the instructor was an excellent teacher.	11	5	37	108	260	300	3	710	4.382257619
IOE	All	Male	Overall, this was an excellent course	11	12	45	127	289	242	2	715	4.085573927
IOE	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	10	39	118	219	321	9	707	4.397660766
IOE	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	3	12	55	213	422	12	705	4.652637155
IOE	All	Male	The instructor treated students with respect.	11	1	4	30	153	515	9	703	4.797780587
IOE	All	Male	This course advanced my understanding of the subject matter.	11	5	20	55	316	321	1	717	4.405686647
IOE	Professor	Male	All Questions	9	59	226	627	1665	2200	34	4777	4.424669354
IOE	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	9	8	38	93	206	250	2	595	4.256713742
IOE	Professor	Male	My interest in the subject has increased because of this course.	9	17	42	113	230	201	1	603	4.041361718
IOE	Professor	Male	Overall, the instructor was an excellent teacher.	9	5	33	90	219	251	3	598	4.392592913
IOE	Professor	Male	Overall, this was an excellent course	9	11	44	109	240	197	2	601	4.045200157
IOE	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	9	9	33	100	185	267	8	594	4.390247932
IOE	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	9	3	12	48	182	348	10	593	4.633977158
IOE	Professor	Male	The instructor treated students with respect.	9	1	4	25	135	427	7	592	4.782959899
IOE	Professor	Male	This course advanced my understanding of the subject matter.	9	5	20	49	268	259	1	601	4.370144791
IOE	All	Female	All Questions	3	24	83	276	827	605	8	1815	4.166627071
IOE	Professor	Female	All Questions	3	24	83	276	827	605	8	1815	4.166627071
IOE	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	0	10	45	92	81	1	228	4.125705376
IOE	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	0	10	45	92	81	1	228	4.125705376
IOE	All	Female	My interest in the subject has increased because of this course.	3	9	22	47	98	49	1	225	3.925793651
IOE	Professor	Female	My interest in the subject has increased because of this course.	3	9	22	47	98	49	1	225	3.925793651
IOE	All	Female	Overall, the instructor was an excellent teacher.	3	5	13	45	119	45	1	227	3.945438596
IOE	Professor	Female	Overall, the instructor was an excellent teacher.	3	5	13	45	119	45	1	227	3.945438596
IOE	All	Female	Overall, this was an excellent course	3	3	15	47	117	44	1	226	3.950346709
IOE	Professor	Female	Overall, this was an excellent course	3	3	15	47	117	44	1	226	3.950346709
IOE	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	5	15	40	105	62	1	227	4.101052189
IOE	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	5	15	40	105	62	1	227	4.101052189
IOE	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	0	3	17	92	116	1	228	4.518537415
IOE	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	0	3	17	92	116	1	228	4.518537415
IOE	All	Female	The instructor treated students with respect.	3	1	3	17	69	135	1	225	4.54742624
IOE	Professor	Female	The instructor treated students with respect.	3	1	3	17	69	135	1	225	4.54742624
IOE	All	Female	This course advanced my understanding of the subject matter.	3	1	2	18	135	73	1	229	4.281105991
IOE	Professor	Female	This course advanced my understanding of the subject matter.	3	1	2	18	135	73	1	229	4.281105991
IOE	Not a Professor	Male	All Questions	2	2	17	94	314	478	5	905	4.55379847
IOE	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	0	0	9	45	59	0	113	4.530637255
IOE	Not a Professor	Male	My interest in the subject has increased because of this course.	2	0	6	13	48	47	0	114	4.296428571
IOE	Not a Professor	Male	Overall, the instructor was an excellent teacher.	2	0	4	18	41	49	0	112	4.335748792
IOE	Not a Professor	Male	Overall, this was an excellent course	2	1	1	18	49	45	0	114	4.267255892
IOE	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	1	6	18	34	54	1	113	4.431018519
IOE	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	0	7	31	74	2	112	4.736607143
IOE	Not a Professor	Male	The instructor treated students with respect.	2	0	0	5	18	88	2	111	4.864473684
IOE	Not a Professor	Male	This course advanced my understanding of the subject matter.	2	0	0	6	48	62	0	116	4.565625
IOE	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
IOE	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	All	Female	All Questions	2	8	37	165	441	374	59	1025	4.185634444
MACROMOL	All	Male	All Questions	2	11	63	152	322	266	64	814	4.001033725
MACROMOL	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	0	8	30	62	36	0	136	3.983870968
MACROMOL	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	1	12	25	40	32	0	110	3.853046595
MACROMOL	All	Female	My interest in the subject has increased because of this course.	2	2	14	32	56	32	0	136	3.857142857
MACROMOL	All	Male	My interest in the subject has increased because of this course.	2	2	12	28	47	21	0	110	3.757518797
MACROMOL	All	Female	Overall, the instructor was an excellent teacher.	2	1	5	20	47	45	16	118	4.210164835
MACROMOL	All	Male	Overall, the instructor was an excellent teacher.	2	1	10	16	37	29	17	93	3.937888199
MACROMOL	All	Female	Overall, this was an excellent course	2	4	6	42	62	22	0	136	3.758064516
MACROMOL	All	Male	Overall, this was an excellent course	2	4	12	31	45	18	0	110	3.629032258
MACROMOL	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	1	3	12	54	50	15	120	4.33125
MACROMOL	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	3	6	16	32	36	16	93	3.971153846
MACROMOL	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	1	9	46	64	15	120	4.565686275
MACROMOL	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	9	14	33	37	16	93	4.083104396
MACROMOL	All	Female	The instructor treated students with respect.	2	0	0	4	32	87	13	123	4.757954545
MACROMOL	All	Male	The instructor treated students with respect.	2	0	0	3	26	66	15	95	4.782169118
MACROMOL	All	Female	This course advanced my understanding of the subject matter.	2	0	0	16	82	38	0	136	4.134146341
MACROMOL	All	Male	This course advanced my understanding of the subject matter.	2	0	2	19	62	27	0	110	4.007549361
MACROMOL	Not a Professor	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Not a Professor	Male	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MACROMOL	Professor	Male	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
MATSCIE	All	Male	All Questions	12	82	251	627	1578	1634	235	4172	4.061007523
MATSCIE	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	12	14	40	100	212	185	1	551	3.76436908
MATSCIE	All	Male	My interest in the subject has increased because of this course.	12	22	62	129	209	128	1	550	3.566713691
MATSCIE	All	Male	Overall, the instructor was an excellent teacher.	12	6	28	71	195	190	59	490	4.146886281
MATSCIE	All	Male	Overall, this was an excellent course	12	23	55	130	218	125	1	551	3.566866608
MATSCIE	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	12	7	27	72	168	214	61	488	4.227116986
MATSCIE	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	12	0	9	30	157	295	60	491	4.489196187
MATSCIE	All	Male	The instructor treated students with respect.	12	7	12	44	156	282	51	501	4.529791251
MATSCIE	All	Male	This course advanced my understanding of the subject matter.	12	3	18	51	263	215	1	550	4.158736859
MATSCIE	Professor	Male	All Questions	9	63	199	444	1142	1304	10	3152	4.136931195
MATSCIE	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	9	10	29	67	147	142	1	395	3.817247184
MATSCIE	Professor	Male	My interest in the subject has increased because of this course.	9	15	45	86	150	98	1	394	3.636570635
MATSCIE	Professor	Male	Overall, the instructor was an excellent teacher.	9	6	27	53	150	155	3	391	4.124994912
MATSCIE	Professor	Male	Overall, this was an excellent course	9	16	39	83	156	101	1	395	3.648604248
MATSCIE	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	9	7	26	61	127	172	1	393	4.137917864
MATSCIE	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	9	0	9	21	120	245	1	395	4.464100207
MATSCIE	Professor	Male	The instructor treated students with respect.	9	7	12	39	120	217	1	395	4.487006736
MATSCIE	Professor	Male	This course advanced my understanding of the subject matter.	9	2	12	34	172	174	1	394	4.233781034
MATSCIE	All	Female	All Questions	3	23	78	283	840	1028	67	2252	4.311065164
MATSCIE	Not a Professor	Male	All Questions	3	19	52	183	436	330	225	1020	3.833236507
MATSCIE	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	1	10	53	121	104	1	289	4.10789138
MATSCIE	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	4	11	33	65	43	0	156	3.605734767
MATSCIE	All	Female	My interest in the subject has increased because of this course.	3	7	35	62	114	70	1	288	3.853037767
MATSCIE	Not a Professor	Male	My interest in the subject has increased because of this course.	3	7	17	43	59	30	0	156	3.357142857
MATSCIE	All	Female	Overall, the instructor was an excellent teacher.	3	4	9	29	91	139	17	272	4.367060245
MATSCIE	Not a Professor	Male	Overall, the instructor was an excellent teacher.	3	0	1	18	45	35	56	99	4.212560386
MATSCIE	All	Female	Overall, this was an excellent course	3	6	14	70	128	72	1	290	3.869012708
MATSCIE	Not a Professor	Male	Overall, this was an excellent course	3	7	16	47	62	24	0	156	3.321653689
MATSCIE	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	2	8	24	93	146	16	273	4.455208333
